Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S190756985,Canada Goose,Branta canadensis,342,X,US-OR,Clatsop,L2977912,Seaside (town),45.9930925,-123.9230647,2024-08-05,10:58 PM,eBird - Stationary Count,90,0,,,1
S192408165,Canada Goose,Branta canadensis,342,50,US-NH,Coos,L35986886,"Buffalo Farm Road, Errol, New Hampshire, US (44.792, -71.179)",44.7922784,-71.1793562,2024-08-22,12:55 PM,eBird - Traveling Count,6,1,1.851,,1,,Approximate count. Many were in the field lying down. Hard to see how many.
S192291989,Canada Goose,Branta canadensis,342,11,US-NH,Coos,L35961900,"Gorham Hydro Dam picnic Area, Gorham, New Hampshire, US (44.409, -71.196)",44.408647,-71.1959234,2024-08-21,05:05 PM,eBird - Stationary Count,18,1,,,3
S192337227,Canada Goose,Branta canadensis,342,98,US-NH,Coos,L5162343,Milan town,44.5762236,-71.1877477,2024-08-21,05:50 PM,eBird - Traveling Count,10,1,3.164,,3,,Estimated count
S195126034,Canada Goose,Branta canadensis,342,9,US-UT,Davis,L190743,Antelope Island SP,41.0465405,-112.2383881,2024-09-14,09:32 AM,eBird - Traveling Count,359,0,80.129,,1
S173683770,Canada Goose,Branta canadensis,342,4,US-DC,District of Columbia,L490336,C&O Canal--Fletcher's Cove (Fletcher's Boathouse),38.9188853,-77.1022224,2017-04-05,01:25 PM,eBird - Traveling Count,75,1,2.414,,3,,,With Paul Charron and Chris Marcum
S246372176,Canada Goose,Branta canadensis,342,22,US-DC,District of Columbia,L473521,Constitution Gardens and Reflecting Pool,38.8901142,-77.043364,2025-06-03,02:15 PM,eBird - Traveling Count,27,1,1.625,,1
S199502389,Canada Goose,Branta canadensis,342,9,US-DC,District of Columbia,L477896,LBJ Memorial Grove - Columbia Island Marina,38.8783386,-77.0510674,2024-10-19,01:47 PM,eBird - Traveling Count,81,1,1.738,,1
S217090868,Canada Goose,Branta canadensis,342,12,US-DC,District of Columbia,L40002483,Lincoln Memorial,38.8892792,-77.0501876,2025-03-07,12:55 PM,eBird - Traveling Count,206,1,3.058,,1
S173683759,Canada Goose,Branta canadensis,342,8,US-DC,District of Columbia,L5658941,TJM a District of Columbia,38.8818381,-77.0346951,2017-04-05,10:30 AM,eBird - Traveling Count,60,1,1.609,,3,,,With Paul Charron And Chris Marcum
S197043896,Canada Goose,Branta canadensis,342,X,US-DC,District of Columbia,L1013541,The White House,38.8975294,-77.0364976,2024-09-30,11:00 AM,eBird - Traveling Count,102,1,.233,,1
S292145747,Canada Goose,Branta canadensis,342,23,US-VA,Fairfax,L718485,Great Falls Park,38.9937,-77.2553,2026-01-03,10:48 AM,eBird - Traveling Count,75,1,1.28,,1
S294986972,Canada Goose,Branta canadensis,342,4,US-VA,Fairfax,L718485,Great Falls Park,38.9937,-77.2553,2026-01-18,12:14 PM,eBird - Traveling Count,51,1,.724,,1
S217261941,Canada Goose,Branta canadensis,342,3,US-MD,Frederick,L1739857,Catoctin Creek Park,39.392925,-77.5639615,2025-03-08,11:54 AM,eBird - Traveling Count,32,0,43.418,,1
S184336723,Canada Goose,Branta canadensis,342,18,US-MD,Frederick,L281578,Sugarloaf Mt.,39.2626685,-77.3972133,2018-04-01,10:45 AM,eBird - Traveling Count,130,1,4.828,,1
S239842745,Canada Goose,Branta canadensis,342,11,US-MD,Frederick,L281578,Sugarloaf Mt.,39.2626685,-77.3972133,2025-05-18,12:09 PM,eBird - Traveling Count,111,1,4.442,,1
S288058093,Canada Goose,Branta canadensis,342,400,US-MD,Howard,L695923,Johns Hopkins APL Pond,39.1612462,-76.8963575,2025-12-10,02:14 PM,eBird - Traveling Count,12,1,.189,,3,,"Estimate. There are probably some cackling geese in this flock too, but it's hard to distinguish them."
S286509010,Canada Goose,Branta canadensis,342,72,US-MD,Howard,L859276,Larriland Farm Pond,39.3128678,-77.1042609,2025-11-28,01:22 PM,eBird - Traveling Count,18,1,.601,,1
S314856678,Canada Goose,Branta canadensis,342,2,US-MD,Howard,L716095,Patapsco Valley SP--Hollofield Section,39.2954172,-76.7864513,2026-03-30,01:49 PM,eBird - Traveling Count,78,1,.61,,1,,,Gorgeous day but no birds..
S206651820,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L33038592,"270 North (39.239, -77.291)",39.2393341,-77.291275,2024-12-26,01:09 PM,eBird - Traveling Count,23,0,21.457,,1
S175192347,Canada Goose,Branta canadensis,342,17,US-MD,Montgomery,L31909282,"9679 Lost Knife Road, Montgomery Village, Maryland, US (39.153, -77.199)",39.1532211,-77.1989898,2024-05-17,07:19 PM,eBird - Traveling Count,29,1,30.204,,1
S305295338,Canada Goose,Branta canadensis,342,1,US-MD,Montgomery,L57047379,"A Fields Road Elementary, Gaithersburg, Maryland, US (39.119, -77.215)",39.1188882,-77.2150482,2026-03-02,08:47 AM,eBird - Traveling Count,13,1,.458,,1
S287726423,Canada Goose,Branta canadensis,342,75,US-MD,Montgomery,L285049,Agricultural History Farm Park,39.1610805,-77.1322894,2025-12-07,03:07 PM,eBird - Traveling Count,87,1,1.583,,2,,Estimate
S307433161,Canada Goose,Branta canadensis,342,75,US-MD,Montgomery,L1316706,Black Hill Hiker/Biker Trail,39.1941644,-77.2873378,2026-03-08,06:34 PM,eBird - Traveling Count,17,1,.825,,1
S296044910,Canada Goose,Branta canadensis,342,21,US-MD,Montgomery,L595310,Black Hill RP--Boat Ramp area,39.2009491,-77.2941077,2026-01-24,02:29 PM,eBird - Traveling Count,35,1,2.7,,1
S218916728,Canada Goose,Branta canadensis,342,12,US-MD,Montgomery,L459907,"Black Hill RP--Little Seneca Lake, Rte.121",39.189427,-77.309455,2025-03-16,01:31 PM,eBird - Traveling Count,39,1,15.224,,1
S296035915,Canada Goose,Branta canadensis,342,X,US-MD,Montgomery,L459907,"Black Hill RP--Little Seneca Lake, Rte.121",39.189427,-77.309455,2026-01-24,01:48 PM,eBird - Traveling Count,33,1,.26,,6,,Dozens
S206809614,Canada Goose,Branta canadensis,342,112,US-MD,Montgomery,L196528,Black Hill Regional Park,39.192365,-77.295757,2024-12-27,04:17 PM,eBird - Traveling Count,80,1,13.164,,1
S233083528,Canada Goose,Branta canadensis,342,6,US-MD,Montgomery,L196528,Black Hill Regional Park,39.192365,-77.295757,2025-05-04,12:18 PM,eBird - Traveling Count,64,1,3.541,,1,,Two pairs each with two goslings.
S219833183,Canada Goose,Branta canadensis,342,4,US-MD,Montgomery,L230151,Blue Mash Nature Trail,39.1939588,-77.1060175,2025-03-21,04:14 PM,eBird - Traveling Count,10,1,3.14,,1
S274969283,Canada Goose,Branta canadensis,342,30,US-MD,Montgomery,L230151,Blue Mash Nature Trail,39.1939588,-77.1060175,2025-09-22,06:06 PM,eBird - Traveling Count,57,1,2.145,,1
S316508959,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L230151,Blue Mash Nature Trail,39.1939588,-77.1060175,2026-04-03,05:54 PM,eBird - Traveling Count,70,1,2.147,,1
S182634611,Canada Goose,Branta canadensis,342,17,US-MD,Montgomery,L7383392,Bohrer Park,39.1329353,-77.1933532,2024-06-20,08:42 AM,eBird - Traveling Count,28,1,1.094,,1
S186447746,Canada Goose,Branta canadensis,342,42,US-MD,Montgomery,L7383392,Bohrer Park,39.1329353,-77.1933532,2024-07-11,08:29 AM,eBird - Traveling Count,12,0,.467,,1,,,Quite a few birds flying around at the top of trees. I couldn't identify cuz I didn't have binocs
S189398872,Canada Goose,Branta canadensis,342,X,US-MD,Montgomery,L7383392,Bohrer Park,39.1329353,-77.1933532,2024-07-29,08:46 AM,eBird - Traveling Count,15,1,.933,,1
S252450521,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L7383392,Bohrer Park,39.1329353,-77.1933532,2025-06-20,08:18 AM,eBird - Traveling Count,20,1,.52,,1
S264217194,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L7383392,Bohrer Park,39.1329353,-77.1933532,2025-07-17,08:41 AM,eBird - Traveling Count,15,1,.744,,1
S263202719,Canada Goose,Branta canadensis,342,60,US-MD,Montgomery,L7383392,Bohrer Park,39.1329353,-77.1933532,2025-07-27,02:00 PM,eBird - Traveling Count,31,1,.123,,1,,Estimate
S216306884,Canada Goose,Branta canadensis,342,11,US-MD,Montgomery,L34819685,Brighton Dam Azalea Garden,39.1917702,-77.0070275,2025-03-02,01:06 PM,eBird - Traveling Count,66,0,5.263,,1
S220359138,Canada Goose,Branta canadensis,342,10,US-MD,Montgomery,L34819685,Brighton Dam Azalea Garden,39.1917702,-77.0070275,2025-03-23,05:06 PM,eBird - Traveling Count,43,1,7.419,,1
S233615339,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L584300,C&O Canal--Edwards Ferry,39.1030006,-77.4737057,2025-05-05,06:00 PM,eBird - Traveling Count,42,1,1.493,,1
S209075439,Canada Goose,Branta canadensis,342,5,US-MD,Montgomery,L214293,C&O Canal--Great Falls,38.9994802,-77.2450634,2025-01-12,03:40 PM,eBird - Traveling Count,62,1,.966,,1,,,The app stopped working repeatedly. It only recorded the first 6 minutes of our track. It should have recorded an entire 2/3 of a mile hike out and back to Olmsted Island.
S289393221,Canada Goose,Branta canadensis,342,17,US-MD,Montgomery,L515805,C&O Canal--Mouth of the Monocacy (Mont. Co.),39.221687,-77.451432,2025-12-20,01:56 PM,eBird - Traveling Count,93,1,3.015,,1
S243074956,Canada Goose,Branta canadensis,342,1,US-MD,Montgomery,L192824,C&O Canal--Violette's Lock,39.066803,-77.32951,2025-05-26,11:56 AM,eBird - Traveling Count,55,1,.8,,2
